Time [s],Value,Parity Error,Framing Error
0.851820000000000,0xFF,,
0.854730000000000,0xFF,,
0.856605000000000,0xFF,,
0.859585000000000,0x07,,Error
0.860695000000000,0xEF,Error,Error
0.861980000000000,0x7E,,
0.870875000000000,0xFF,,
0.872550000000000,0xFF,,
0.873920000000000,0xFF,,
0.876985000000000,0xFF,,
0.879110000000000,0xBF,Error,
0.880825000000000,0xFE,Error,
0.884390000000000,0xFF,,
0.890060000000000,0xFF,,
0.891815000000000,0xFF,,
0.897985000000000,0xFF,,
0.900045000000000,0xFF,,Error
0.901165000000000,0xFF,,
0.902510000000000,0xFF,,
0.903830000000000,0xFF,,
0.905155000000000,0xFF,,
0.906375000000000,0xFF,,
0.908670000000000,0xFF,,
0.910395000000000,0xFF,,
0.911590000000000,0xFF,,
0.917775000000000,0xFF,,
0.919565000000000,0xEF,Error,
0.921045000000000,0xB3,Error,
0.922250000000000,0xEF,Error,
0.923345000000000,0xFD,Error,
0.931130000000000,0xFF,,
0.933925000000000,0xFF,,
0.936515000000000,0xFF,,
0.937975000000000,0xFF,,
0.939600000000000,0xA7,,Error
0.940710000000000,0x7F,Error,Error
0.942020000000000,0xA9,,Error
0.943200000000000,0xFF,,
0.944400000000000,0xFF,,
0.949905000000000,0xFF,,
0.953505000000000,0xFF,,
0.955440000000000,0xFF,,
0.960105000000000,0xFF,,
0.961215000000000,0xFF,,Error
0.962350000000000,0xFF,,
0.970170000000000,0xFF,,
0.974035000000000,0xFF,,
0.980070000000000,0xFF,,Error
0.981175000000000,0xD0,Error,
0.982310000000000,0xED,,
0.984660000000000,0xFF,,
0.992115000000000,0xFF,,
0.993385000000000,0xFF,,
0.996290000000000,0xFF,,
0.999625000000000,0xA4,,
1.000730000000000,0xF4,Error,
1.002025000000000,0xFD,Error,Error
1.003165000000000,0xFE,Error,
1.004400000000000,0xFF,,
1.009075000000000,0xFF,,
1.011120000000000,0xFF,,
1.015825000000000,0xDF,Error,
1.017200000000000,0xFF,,
1.018315000000000,0xFF,,
1.019625000000000,0x89,,
1.020740000000000,0x0C,,Error
1.021975000000000,0x4B,,Error
1.023130000000000,0xF5,,
1.024525000000000,0xFF,,
1.028745000000000,0xFF,,
1.030920000000000,0xFF,,
1.032625000000000,0xFF,,
1.034110000000000,0xFF,,
1.037670000000000,0xFF,,
1.039115000000000,0x6F,,Error
1.040220000000000,0x92,,
1.041330000000000,0x81,Error,Error
1.042540000000000,0xAB,,Error
1.043995000000000,0xFB,Error,
1.045350000000000,0xBF,Error,Error
1.046460000000000,0xFF,Error,Error
1.047580000000000,0xFF,,
1.048845000000000,0xFF,,
1.050030000000000,0xFF,,
1.051695000000000,0xFF,,
1.053775000000000,0xEF,Error,
1.054880000000000,0xFF,,
1.056895000000000,0xFF,,
1.058900000000000,0x36,Error,
1.060015000000000,0xD0,Error,Error
1.061225000000000,0x64,Error,
1.062325000000000,0x2F,Error,Error
1.063440000000000,0xBF,Error,
1.064930000000000,0xFB,Error,
1.066260000000000,0xFF,,Error
1.068340000000000,0xFF,,
1.069435000000000,0xFF,Error,
1.071360000000000,0xFE,Error,
1.072500000000000,0xFF,,Error
1.073640000000000,0xFF,Error,
1.075620000000000,0xFF,,Error
1.077700000000000,0xF9,,Error
1.079060000000000,0x3F,Error,Error
1.080235000000000,0x52,,Error
