Time [s],Value,Parity Error,Framing Error
0.284280000000000,0x13,Error,
0.285375000000000,0x20,,Error
0.286540000000000,0x00,Error,Error
0.287650000000000,0x20,,
0.288940000000000,0xB8,,Error
0.290065000000000,0xD2,Error,
0.291175000000000,0x67,Error,Error
0.292295000000000,0xB4,,
0.293415000000000,0x77,,
0.294510000000000,0xF0,,Error
0.295910000000000,0xFF,,Error
0.297160000000000,0x7F,Error,Error
0.298615000000000,0x57,Error,Error
0.299735000000000,0x50,Error,Error
0.300920000000000,0x15,,
0.302070000000000,0xEB,,Error
0.303180000000000,0x3D,Error,Error
0.304305000000000,0xFF,Error,
0.306315000000000,0xFF,,Error
0.307460000000000,0xFF,Error,
0.308705000000000,0xE7,,
0.309850000000000,0xDD,,
0.310955000000000,0xEE,,
0.312555000000000,0xFF,,Error
0.313675000000000,0xFF,Error,
0.315675000000000,0xFF,,Error
0.317580000000000,0xFD,Error,
0.318680000000000,0x7E,Error,
0.319795000000000,0x42,Error,Error
0.320930000000000,0x05,,Error
0.322100000000000,0xAD,Error,Error
0.323340000000000,0xFF,,
0.324470000000000,0xCF,,
0.326080000000000,0xFF,,Error
0.327225000000000,0xFC,Error,
0.328610000000000,0xFF,,
0.329720000000000,0x6F,,Error
0.330830000000000,0xD5,,
0.331940000000000,0x0A,,Error
0.333060000000000,0x84,Error,Error
0.334165000000000,0x30,Error,Error
0.335310000000000,0xFA,,
0.336690000000000,0xDB,,Error
0.338045000000000,0x82,Error,
0.339395000000000,0xA1,,Error
0.340510000000000,0x19,,Error
0.341675000000000,0xA4,,
0.342830000000000,0x82,Error,
0.343975000000000,0x00,Error,Error
0.345100000000000,0x10,,Error
0.346295000000000,0x00,Error,Error
0.347420000000000,0x40,Error,
0.348520000000000,0xA0,,Error
0.349620000000000,0x54,,
0.350730000000000,0xCB,Error,Error
0.351865000000000,0x72,,
0.353000000000000,0x77,,
0.354095000000000,0x95,,Error
0.355500000000000,0xFF,,Error
0.356975000000000,0xDF,Error,
0.358625000000000,0x7F,,Error
0.359730000000000,0x14,Error,
0.360865000000000,0x24,Error,Error
0.362005000000000,0x51,,
0.363140000000000,0x86,Error,
0.364475000000000,0xF7,Error,
